"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"28806","P7_547624QQ",21.4,14.3,14,-438,91,0,-15.64,0.06,-0.31,0
"28807","P7_547976MQ",6.7,6.7,60,4160,789,4.5,34.67,0.13,0.69,66.7
"28808","P7_548322UK",35.1,8.8,57,-1020,853,0,-8.93,0.15,-0.18,43.8
"28809","P7_548779SV",25,10,40,-3735,560,7.7,-46.67,0.14,-0.93,22.2
"28810","P7_550819NP",18.8,6.2,16,2434,284,0,76.06,0.18,1.52,75
"28811","P7_555418XK",16,12,25,-65,376,11.1,-1.28,0.15,-0.03,50
"28812","P7_555925JB",0,0,6,-100,37,0,-8.33,0.06,-0.17,NA
"28813","P7_556340NM",15.8,10.5,38,10202,615,6.2,134.24,0.16,2.68,37.5
"28814","P7_557428VJ",0,0,2,-100,5,NA,-50,0.02,-0.5,NA
"28815","P7_558121CS",60,0,5,5055,97,0,505.6,0.19,10.11,66.7
"28816","P7_559421PB",20,10,20,430,195,14.3,21.5,0.1,0.21,20
"28817","P7_560552EB",0,0,2,0,4,NA,0,0.02,0,NA
"28818","P7_562586BI",33.3,33.3,3,995,26,0,166,0.09,3.32,100
"28819","P7_567395EE",50,50,2,415,9,NA,207.5,0.04,2.08,100
"28820","P7_567769DM",0,0,4,-200,36,0,-25,0.09,-0.5,NA
"28821","P7_568623LF",41.7,25,60,10036,905,4.2,83.67,0.15,1.67,NA
"28822","P7_568674JT",53.8,38.5,13,-2986,178,0,-114.85,0.14,-2.3,0
"28823","P7_569963HQ",28.6,14.3,7,-1800,93,0,-257.14,0.13,-2.57,0
"28824","P7_572069FL",28.8,3.8,52,-11344,482,6.2,-109.08,0.09,-2.18,38.5
"28825","P7_572282FF",52.4,38.1,21,9375,409,12.5,223.24,0.19,4.46,50
"28826","P7_573196DA",42.9,14.3,7,2652,102,0,378.86,0.15,3.79,66.7
"28827","P7_576871JT",36.4,9.1,11,-600,59,33.3,-27.27,0.05,-0.55,0
"28828","P7_577476MR",31.4,20,35,3855,533,18.2,55.09,0.15,1.1,44.4
"28829","P7_580204QP",9.1,4.5,44,-410,345,0,-9.32,0.08,-0.09,33.3
"28830","P7_580237QV",47.1,17.6,17,26539,214,0,780.59,0.13,15.61,66.7
"28831","P7_580740NN",22.2,22.2,9,2040,102,0,113.33,0.11,2.27,100
"28832","P7_581819QC",66.7,0,3,-6000,39,NA,-1000,0.13,-20,50
"28833","P7_582619KY",0,0,3,-100,44,0,-33.33,0.15,-0.33,NA
"28834","P7_583251WN",0,0,5,-200,107,NA,-20,0.21,-0.4,NA
"28835","P7_584972YP",20,0,5,-500,47,0,-50,0.09,-1,0
"28836","P7_586481HY",0,0,2,-100,0,0,-50,0,-0.5,NA
"28837","P7_586509PU",0,0,1,0,71,NA,0,0.71,0,NA
"28838","P7_587700EL",15.4,0,13,12510,358,0,481.15,0.28,9.62,100
"28839","P7_588122EE",0,0,1,-200,28,0,-100,0.28,-2,NA
"28840","P7_590618CL",22.2,11.1,18,-9090,252,0,-505,0.14,-5.05,0
"28841","P7_591424QG",11.1,0,18,-2000,171,0,-55.56,0.1,-1.11,0
"28842","P7_594791TY",17.5,15,40,14640,416,0,183.03,0.1,3.66,80
"28843","P7_595123AY",50,16.7,6,675,27,0,112.5,0.05,1.12,100
"28844","P7_597217VW",9,7.5,67,-2640,596,0,-39.4,0.09,-0.39,25
"28845","P7_597356GX",29.4,0,17,-3150,129,0,-92.65,0.08,-1.85,20
"28846","P7_597585WD",14.3,4.8,42,-6396,263,0,-152.29,0.06,-1.52,28.6
"28847","P7_598063LS",16.7,0,18,520,143,0,28.89,0.08,0.29,66.7
"28848","P7_600017GJ",0,0,1,0,38,0,0,0.38,0,NA
"28849","P7_601156RK",100,33.3,3,1665,40,0,555,0.13,5.55,66.7
"28850","P7_601175SR",0,0,16,1040,202,0,65,0.13,0.65,100
"28851","P7_601734QH",5,5,20,-4399,273,0,-110,0.14,-2.2,0
"28852","P7_603400RY",19.4,2.8,36,4625,357,0,64.25,0.1,1.28,37.5
"28853","P7_603907XQ",60,40,5,-750,34,0,-150,0.07,-1.5,0
"28854","P7_605801GL",23.5,17.6,17,-1155,168,20,-67.94,0.1,-0.68,50
"28855","P7_606035OK",100,25,4,-5800,133,0,-725,0.33,-14.5,0
"28856","P7_607092LT",9.1,9.1,11,20,50,0,1.82,0.05,0.02,100
"28857","P7_607572VJ",22.2,11.1,18,-4352,222,0,-120.89,0.12,-2.42,0
"28858","P7_608423OK",13.5,2.7,37,1655,267,0,44.73,0.07,0.45,28.6
"28859","P7_608478WG",20,0,5,-600,63,0,-60,0.13,-1.2,0
"28860","P7_609370TF",38.5,23.1,13,301,172,0,11.62,0.13,0.23,50
"28861","P7_611043FG",0,0,1,0,4,NA,0,0.04,0,NA
