"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"22094","P3_821906UV",66.7,66.7,3,-3800,81,0,-633.33,0.27,-12.67,0
"22095","P3_822008IQ",33.3,26.7,15,12970,118,20,864.67,0.08,8.65,100
"22096","P3_822435IN",42.3,23.1,26,-1205,99,0,-23.15,0.04,-0.46,55.6
"22097","P3_822556CP",75,50,4,2800,44,100,350,0.11,7,100
"22098","P3_822689WD",23.5,23.5,17,8740,152,20,257.06,0.09,5.14,100
"22099","P3_823052EW",60,6.7,15,-3410,132,0,-227.33,0.09,-2.27,20
"22100","P3_823342WA",57.1,35.7,14,3490,268,33.3,124.71,0.19,2.49,62.5
"22101","P3_823363NO",53.2,7.6,79,12559,769,0,158.97,0.1,1.59,40.5
"22102","P3_823888UG",13.2,5.3,38,990,376,0,13.03,0.1,0.26,50
"22103","P3_824067KQ",33.3,33.3,9,1810,148,33.3,100.56,0.16,2.01,100
"22104","P3_824299LH",43.5,21.7,23,-3000,197,0,-130.43,0.09,-1.3,28.6
"22105","P3_825592QE",100,0,1,4900,50,0,2450,0.5,49,100
"22106","P3_826368KV",41.7,16.7,12,2710,192,20,112.92,0.16,2.26,66.7
"22107","P3_826604JH",37.5,12.5,8,12200,137,0,762.5,0.17,15.25,66.7
"22108","P3_826705GI",0,0,5,-100,43,0,-10,0.09,-0.2,NA
"22109","P3_827809GG",52.4,16.7,42,481,397,16.7,11.45,0.09,0.11,40
"22110","P3_828034YN",0,0,11,-300,57,0,-27.27,0.05,-0.27,0
"22111","P3_828408AF",52.4,33.3,21,-9895,229,0,-235.57,0.11,-4.71,44.4
"22112","P3_828835VV",0,0,6,365,104,0,30.5,0.17,0.61,100
"22113","P3_830673ER",0,0,1,0,36,NA,0,0.36,0,NA
"22114","P3_831002TX",0,0,2,0,0,NA,0,0,0,NA
"22115","P3_831130RI",58.3,8.3,12,515,171,0,21.5,0.14,0.43,60
"22116","P3_831581XG",37.5,0,8,-520,123,0,-65,0.15,-0.65,33.3
"22117","P3_832132RP",32.1,30.3,109,6812,994,19.4,31.26,0.09,0.62,63.2
"22118","P3_832184OM",0,0,10,-200,52,0,-10,0.05,-0.2,0
"22119","P3_832284TV",66.7,33.3,6,-2300,99,0,-191.67,0.16,-3.83,33.3
"22120","P3_833071UV",22.2,11.1,18,3070,242,33.3,85.28,0.13,1.71,50
"22121","P3_833272QK",23.1,23.1,13,-1257,133,0,-96.69,0.1,-0.97,0
"22122","P3_833675KR",5.7,5.7,35,-1250,284,0,-35.71,0.08,-0.36,0
"22123","P3_833962MA",60,10,10,-2590,247,0,-129.5,0.25,-2.59,20
"22124","P3_835218YI",25.6,2.6,39,4510,476,0,57.82,0.12,1.16,27.3
"22125","P3_836065JC",24.5,13.2,53,-7838,561,9.1,-73.94,0.11,-1.48,41.7
"22126","P3_836194XS",12.5,12.5,8,-3425,108,0,-214.12,0.14,-4.28,50
"22127","P3_836225NJ",18.8,6.2,16,-2185,84,0,-136.56,0.05,-1.37,33.3
"22128","P3_836228WQ",40,20,5,2425,70,0,242.6,0.14,4.85,100
"22129","P3_836509SW",100,100,1,-1800,33,NA,-900,0.33,-18,0
"22130","P3_837078FC",35.6,15.3,59,16065,876,3.4,136.15,0.15,2.72,35
"22131","P3_838011WB",9.5,4.8,21,-7825,217,0,-186.33,0.1,-3.73,0
"22132","P3_838054OD",16.7,16.7,6,2500,15,0,208.33,0.02,4.17,NA
"22133","P3_838733HG",33.3,10,30,2585,313,0,86.17,0.1,0.86,57.1
"22134","P3_838829JG",100,100,3,1050,50,NA,175,0.17,3.5,100
"22135","P3_839113BS",12.5,6.2,16,570,303,0,17.81,0.19,0.36,50
"22136","P3_839686YA",40.5,10.7,84,12920,454,12.5,153.81,0.05,1.54,53.1
"22137","P3_840497YC",25,12.5,8,-295,145,0,-18.38,0.18,-0.37,50
"22138","P3_840782PL",33.3,33.3,9,-4302,97,0,-239,0.11,-4.78,50
"22139","P3_840807UC",29.2,16.7,24,-16910,382,22.2,-352.29,0.16,-7.05,57.1
"22140","P3_841006XP",20,20,5,-2300,50,0,-230,0.1,-4.6,0
"22141","P3_842000HD",29.4,11.8,17,-2243,162,0,-66,0.1,-1.32,50
"22142","P3_842866PO",0,0,3,0,14,NA,0,0.05,0,NA
"22143","P3_843696NY",100,0,1,1005,19,NA,503,0.19,10.05,100
"22144","P3_844043NY",17.4,0,92,-7085,1057,0,-38.51,0.11,-0.77,31.2
"22145","P3_844206WY",62.5,5,40,-6000,487,0,-75.03,0.12,-1.5,23.8
"22146","P3_845765UI",0,0,2,-100,0,NA,-25,0,-0.5,NA
"22147","P3_845950KI",0,0,4,-300,73,0,-37.5,0.18,-0.75,0
"22148","P3_846605LM",25,16.7,12,1730,224,0,72.17,0.19,1.44,100
"22149","P3_847146NH",0,0,16,-600,227,0,-18.75,0.14,-0.38,NA
"22150","P3_847272AF",50,0,10,-830,118,0,-41.5,0.12,-0.83,33.3
"22151","P3_848760JY",42.9,28.6,7,-5014,191,0,-358.14,0.27,-7.16,0
"22152","P3_848910YB",0,0,1,0,12,NA,0,0.12,0,NA
"22153","P3_849222YA",0,0,3,-300,0,0,-50,0,-1,NA
"22154","P3_849378XE",42.1,26.3,19,-1510,277,0,-79.47,0.15,-0.79,16.7
"22155","P3_849496RC",12.5,0,16,-815,164,0,-50.94,0.1,-0.51,33.3
"22156","P3_849612NH",35.7,0,14,-2236,158,0,-79.93,0.11,-1.6,20
"22157","P3_850021AQ",20,0,5,-700,56,0,-70,0.11,-1.4,0
"22158","P3_850466NL",7.7,7.7,13,580,91,0,44.62,0.07,0.45,100
"22159","P3_850481BA",23.5,5.9,17,-360,149,0,-10.59,0.09,-0.21,50
"22160","P3_850498DP",28.6,14.3,7,755,31,0,107.86,0.04,1.08,75
"22161","P3_851159CL",71.4,42.9,7,-7450,74,0,-532.14,0.11,-10.64,33.3
"22162","P3_852060DM",22.2,16.7,18,-240,249,0,-6.67,0.14,-0.13,25
"22163","P3_852299RN",33.3,13.3,15,-530,88,0,-17.67,0.06,-0.35,25
"22164","P3_852643MN",54.5,9.1,11,-3200,130,0,-290.91,0.12,-2.91,20
"22165","P3_854388WK",17.7,6.5,62,12925,1053,0,104.24,0.17,2.08,NA
"22166","P3_854883YI",0,0,5,-100,86,0,-20,0.17,-0.2,NA
"22167","P3_856269MV",19.4,16.7,36,-1805,400,0,-25.06,0.11,-0.5,55.6
"22168","P3_856464QM",64,12,25,16728,625,11.1,334.6,0.25,6.69,42.9
"22169","P3_856830EH",31.4,8.6,35,16577,404,0,473.63,0.12,4.74,45.5
"22170","P3_856948YS",50,30,20,-24885,354,11.1,-622.15,0.18,-12.44,30
"22171","P3_857747TK",18.8,12.5,48,-17135,636,0,-178.5,0.13,-3.57,16.7
"22172","P3_857789EB",9.1,0,11,175,48,0,15.91,0.04,0.16,100
"22173","P3_858069EU",11.8,5.9,17,8100,321,0,238.24,0.19,4.76,50
"22174","P3_858951CA",14.3,14.3,7,-100,80,0,-7.14,0.11,-0.14,NA
"22175","P3_858958KT",33.3,0,3,-500,17,NA,-166.67,0.06,-1.67,0
"22176","P3_860023JJ",11.1,0,18,-1400,195,0,-38.89,0.11,-0.78,0
"22177","P3_860724DS",9.3,2.3,43,-2257,361,0,-52.49,0.08,-0.52,0
"22178","P3_860828DO",44.4,44.4,9,-7555,190,0,-419.67,0.21,-8.39,50
"22179","P3_860874FP",50,50,2,935,43,0,467.5,0.22,4.67,100
"22180","P3_861471SP",17.6,11.8,17,-300,104,0,-8.82,0.06,-0.18,0
"22181","P3_861581QH",22.2,11.1,9,1535,83,0,85.33,0.09,1.71,100
"22182","P3_861755OT",33.3,33.3,6,-1600,50,0,-133.33,0.08,-2.67,0
"22183","P3_861862RQ",28.6,7.1,14,-30,84,0,-2.14,0.06,-0.02,100
"22184","P3_862404WW",0,0,3,-200,35,NA,-33.33,0.12,-0.67,NA
"22185","P3_862854OK",70,30,10,-32709,260,50,-1635.5,0.26,-32.71,33.3
"22186","P3_863374WV",0,0,4,-300,32,0,-37.5,0.08,-0.75,NA
"22187","P3_864884DV",38.5,15.4,13,-10000,201,25,-769.23,0.15,-7.69,33.3
"22188","P3_865116PL",43.3,32.8,67,-8085,1348,5.9,-60.36,0.2,-1.21,36
"22189","P3_865651FY",66.7,33.3,3,-1400,27,NA,-233.33,0.09,-4.67,0
"22190","P3_865776EW",35.6,24.4,45,12635,322,10,280.78,0.07,2.81,50
"22191","P3_865845RN",25,0,4,-3000,70,0,-750,0.18,-7.5,0
"22192","P3_865988MC",26.7,6.7,15,246,58,12.5,8.27,0.04,0.16,33.3
"22193","P3_866307JH",28.6,14.3,7,305,64,0,21.86,0.09,0.44,50
"22194","P3_867926UP",16.7,16.7,6,-4100,129,0,-341.67,0.22,-6.83,NA
"22195","P3_868555GE",25,0,4,-350,17,0,-87.5,0.04,-0.88,0
"22196","P3_869932DJ",28,8,25,-2409,184,9.1,-96.36,0.07,-0.96,28.6
"22197","P3_870469YM",26.9,19.2,26,-2625,324,9.1,-50.46,0.12,-1.01,33.3
"22198","P3_870581OB",36.8,31.6,19,-4555,314,22.2,-119.89,0.17,-2.4,40
"22199","P3_870584TG",55.6,33.3,9,715,90,0,79.44,0.1,0.79,66.7
"22200","P3_871390BV",0,0,2,0,0,NA,0,0,0,NA
"22201","P3_871998VW",0,0,6,-150,76,0,-25,0.13,-0.25,NA
"22202","P3_872236PS",33.3,0,6,-1700,113,0,-141.67,0.19,-2.83,0
"22203","P3_872586MD",33.3,27.3,33,-3655,478,18.2,-55.39,0.14,-1.11,28.6
"22204","P3_873044DJ",44.4,33.3,9,1595,94,0,88.67,0.1,1.77,75
"22205","P3_873519XF",30.8,15.4,39,90,658,0,1.15,0.17,0.02,45.5
"22206","P3_873792QJ",23.1,15.4,13,-5800,197,14.3,-223.08,0.15,-4.46,0
"22207","P3_874080MF",27.3,9.1,11,-9300,199,0,-422.73,0.18,-8.45,0
"22208","P3_874890UF",50,0,2,-10205,43,0,-2551.5,0.22,-51.02,0
"22209","P3_875786NA",20,20,20,-600,217,0,-15,0.11,-0.3,NA
"22210","P3_875929SW",11.8,5.9,17,-845,168,0,-24.88,0.1,-0.5,33.3
"22211","P3_875970AO",0,0,1,200,0,NA,100,0,2,NA
"22212","P3_876975VX",27.8,11.9,126,2285,1850,4.7,9.06,0.15,0.18,43.8
"22213","P3_877119QS",37,22.2,27,-9200,193,0,-170.37,0.07,-3.41,33.3
"22214","P3_877511LH",20,10,10,2185,100,16.7,109.3,0.1,2.19,100
"22215","P3_878737IR",20,10,10,-130,163,0,-13,0.16,-0.13,50
"22216","P3_879256PT",6.7,6.7,15,100,221,0,3.33,0.15,0.07,0
"22217","P3_879786YY",0,0,8,175,57,0,11,0.07,0.22,100
"22218","P3_880137KK",30.4,30.4,23,3385,120,12.5,147.17,0.05,1.47,75
"22219","P3_880144CK",4.3,4.3,23,-600,151,0,-13.04,0.07,-0.26,NA
"22220","P3_881201PL",25,1.7,60,7725,916,6.2,64.38,0.15,1.29,40
"22221","P3_881453OR",31.8,22.7,22,1620,162,11.1,36.82,0.07,0.74,100
"22222","P3_881505AK",20,20,15,-200,424,25,-6.67,0.28,-0.13,50
"22223","P3_882819JF",50,0,6,-1848,97,0,-154,0.16,-3.08,66.7
"22224","P3_883301LO",35.1,19.3,57,14785,689,5.3,129.68,0.12,2.59,37.5
"22225","P3_883933XM",12.1,6.1,33,560,302,0,8.48,0.09,0.17,40
"22226","P3_884173FP",33.3,33.3,6,1300,8,50,108.33,0.01,2.17,0
"22227","P3_885316NJ",100,0,3,7943,123,0,1324,0.41,26.48,33.3
"22228","P3_885354HC",16.7,16.7,18,-3690,229,0,-102.5,0.13,-2.05,33.3
"22229","P3_886080HM",0,0,5,-300,113,0,-30,0.23,-0.6,NA
"22230","P3_886710SO",20,20,5,-2100,33,0,-210,0.07,-4.2,0
"22231","P3_886772AH",8.7,0,23,-1350,455,0,-58.7,0.2,-0.59,0
"22232","P3_886861EJ",52.9,4.3,70,-3746,1296,0,-26.77,0.19,-0.54,32.4
"22233","P3_887264IJ",25,25,4,1420,45,0,177.5,0.11,3.55,100
"22234","P3_889339UV",35.3,14.7,34,-6000,563,9.1,-88.26,0.17,-1.76,45.5
"22235","P3_889709VE",39.5,21.1,38,-12287,383,0,-161.66,0.1,-3.23,25
"22236","P3_890859PD",20.5,15.4,39,440,493,10,5.64,0.13,0.11,40
"22237","P3_890979YG",0,0,7,-300,67,0,-21.43,0.1,-0.43,NA
"22238","P3_891410SO",0,0,1,-600,17,NA,-300,0.17,-6,0
"22239","P3_892236CV",44.4,3.7,27,-1717,236,0,-63.59,0.09,-0.64,41.7
"22240","P3_892361HY",0,0,2,-300,0,0,-75,0,-1.5,NA
"22241","P3_892454HE",41.2,5.9,17,5035,242,0,148.06,0.14,2.96,57.1
"22242","P3_892511KY",33.3,26.7,15,-1150,216,0,-38.33,0.14,-0.77,0
"22243","P3_892696BW",11.1,11.1,9,-1000,110,0,-111.11,0.12,-1.11,50
"22244","P3_893270DW",18.8,12.5,16,-550,77,0,-34.38,0.05,-0.34,0
"22245","P3_893381FF",28.9,23.7,38,-4655,423,0,-61.26,0.11,-1.22,30
"22246","P3_894447NA",25,0,4,-100,9,NA,-25,0.02,-0.25,0
"22247","P3_895889GY",20,0,5,-700,16,0,-70,0.03,-1.4,0
"22248","P3_895923GB",0,0,1,185,3,NA,185,0.03,1.85,100
"22249","P3_896973NV",28.6,7.1,14,8850,179,0,316.07,0.13,6.32,25
"22250","P3_897222YP",0,0,2,-300,11,0,-75,0.06,-1.5,NA
"22251","P3_897375RR",10.5,5.3,19,-625,286,0,-16.42,0.15,-0.33,50
"22252","P3_897426VU",0,0,2,-1898,78,NA,-474.5,0.39,-9.49,0
"22253","P3_897626RS",23.1,15.4,39,6515,521,0,83.54,0.13,1.67,37.5
"22254","P3_897741VN",62.5,0,8,-1650,143,0,-103.12,0.18,-2.06,60
"22255","P3_899567AC",29.4,23.5,17,-2375,276,0,-69.88,0.16,-1.4,25
"22256","P3_899930IY",50,25,4,-2200,62,NA,-275,0.16,-5.5,0
"22257","P3_899951AX",21.7,8.7,23,-7125,150,0,-154.91,0.07,-3.1,25
"22258","P3_900013VA",50,12.5,16,7804,325,20,487.75,0.2,4.88,100
"22259","P3_900133ST",14.8,11.1,27,-1150,245,15.4,-21.3,0.09,-0.43,0
"22260","P3_900192US",38.5,30.8,13,375,107,12.5,14.46,0.08,0.29,66.7
"22261","P3_900496VH",29.5,15.9,44,16515,690,5.3,187.68,0.16,3.75,53.8
"22262","P3_900854WU",12.5,12.5,8,300,18,0,18.75,0.02,0.38,NA
"22263","P3_900909SQ",28.6,28.6,7,500,90,0,35.71,0.13,0.71,NA
"22264","P3_900946YE",54.5,0,11,-1582,195,0,-143.82,0.18,-1.44,20
"22265","P3_901273QU",37.5,12.5,32,2906,413,9.1,45.41,0.13,0.91,40
"22266","P3_901417CA",85.7,28.6,7,-1395,168,33.3,-99.71,0.24,-1.99,40
"22267","P3_901519FW",28.6,14.3,14,1405,153,25,50.21,0.11,1,33.3
"22268","P3_901643ME",0,0,9,-600,156,0,-33.33,0.17,-0.67,NA
"22269","P3_901748NX",23.1,0,13,-2265,178,0,-87.08,0.14,-1.74,66.7
"22270","P3_901872NW",33.3,33.3,12,-2410,132,0,-100.42,0.11,-2.01,33.3
"22271","P3_902209SH",40,0,5,-7070,114,0,-707,0.23,-14.14,0
"22272","P3_903052IB",0,0,1,0,15,NA,0,0.15,0,NA
"22273","P3_903411HC",33.3,33.3,3,300,9,NA,50,0.03,1,NA
"22274","P3_904048BG",30,10,10,-1200,250,0,-60,0.25,-1.2,0
"22275","P3_904120EQ",37,4.3,46,-7495,585,0,-81.48,0.13,-1.63,43.8
"22276","P3_904381DR",18.2,18.2,11,-4050,132,0,-184.09,0.12,-3.68,0
"22277","P3_904776KE",0,0,2,-200,0,0,-50,0,-1,NA
"22278","P3_905302RQ",83.3,66.7,6,-5000,59,50,-833.33,0.1,-8.33,0
"22279","P3_906000WK",8.3,8.3,12,-1637,142,0,-136.42,0.12,-1.36,0
"22280","P3_906458OF",12,8,25,3630,311,10,72.6,0.12,1.45,50
"22281","P3_906670EV",27.8,11.1,18,270,90,0,15,0.05,0.15,33.3
"22282","P3_906743WH",39.3,7.1,28,4670,533,11.1,83.39,0.19,1.67,62.5
"22283","P3_907430FS",0,0,6,-300,95,0,-25,0.16,-0.5,NA
"22284","P3_908411OO",25,25,4,155,26,0,19.5,0.06,0.39,100
"22285","P3_908538KU",12.4,6.6,121,14005,1423,0,57.88,0.12,1.16,30
"22286","P3_909440GH",11.1,5.6,18,1060,187,0,29.44,0.1,0.59,100
"22287","P3_909524WE",22.7,22.7,22,4640,267,0,210.91,0.12,2.11,50
"22288","P3_909911BH",18.9,13.5,74,6790,634,8.7,91.76,0.09,0.92,25
"22289","P3_910211LU",0,0,2,-200,100,0,-50,0.5,-1,NA
"22290","P3_910418PT",33.3,22.2,18,4705,269,12.5,130.72,0.15,2.61,66.7
"22291","P3_910843QT",31.7,21.7,60,26565,817,8.7,221.38,0.14,4.43,61.5
"22292","P3_911061JA",33.3,0,6,30,49,0,5,0.08,0.05,33.3
"22293","P3_911560BM",18.2,18.2,11,-600,70,0,-27.27,0.06,-0.55,NA
"22294","P3_911766JU",13,13,23,-900,205,0,-19.57,0.09,-0.39,0
"22295","P3_912682KP",25,0,4,-200,49,0,-25,0.12,-0.5,0
"22296","P3_914008DK",20,20,5,-600,13,0,-60,0.03,-1.2,NA
"22297","P3_914223JW",11.1,11.1,27,2900,495,0,53.7,0.18,1.07,50
"22298","P3_914428LY",0,0,1,-200,26,0,-100,0.26,-2,NA
"22299","P3_914436RU",0,0,4,-200,60,0,-25,0.15,-0.5,NA
"22300","P3_914493AS",25,0,4,-4500,38,0,-562.5,0.1,-11.25,0
"22301","P3_914588SY",44.4,0,9,-7720,213,0,-428.89,0.24,-8.58,25
"22302","P3_914974FN",10,10,10,-450,136,0,-45,0.14,-0.45,0
"22303","P3_915355YM",21.7,21.7,23,-9000,211,0,-391.3,0.09,-3.91,60
"22304","P3_915653PI",50,25,4,-300,94,0,-37.5,0.24,-0.75,0
"22305","P3_916115CK",40,25,20,-16813,425,0,-420.3,0.21,-8.41,28.6
"22306","P3_916597UD",17.5,1.8,57,2410,363,0,42.28,0.06,0.42,50
"22307","P3_916974AP",33.3,33.3,3,-1000,76,0,-333.33,0.25,-3.33,0
"22308","P3_917081EN",35.7,28.6,28,4441,339,22.2,79.32,0.12,1.59,44.4
"22309","P3_917750GX",21,17,100,-11610,1174,0,-58.05,0.12,-1.16,NA
"22310","P3_918070BI",0,0,3,-150,14,0,-50,0.05,-0.5,NA
"22311","P3_918094BN",46.7,20,15,-13340,397,0,-444.67,0.26,-8.89,20
"22312","P3_918452GN",0,0,3,-300,31,0,-50,0.1,-1,0
"22313","P3_919094OL",30.8,23.1,26,-5282,467,0,-101.58,0.18,-2.03,37.5
"22314","P3_919282CU",20,16,25,1120,126,0,44.8,0.05,0.45,33.3
"22315","P3_921005AY",7.7,3.8,26,17150,430,0,329.81,0.17,6.6,50
"22316","P3_922185UP",12.5,0,8,-1100,46,0,-68.75,0.06,-1.38,0
"22317","P3_922890FD",7.1,7.1,14,100,205,16.7,7.14,0.15,0.07,NA
"22318","P3_923016AN",16.7,16.7,6,0,78,0,0,0.13,0,NA
"22319","P3_923416JI",20,0,5,-1750,22,0,-175,0.04,-3.5,0
"22320","P3_923587WF",47.6,14.3,21,2675,204,0,63.67,0.1,1.27,57.1
"22321","P3_924353SM",0,0,3,-300,39,0,-50,0.13,-1,NA
"22322","P3_924386QV",11.1,11.1,18,5961,215,14.3,165.61,0.12,3.31,66.7
"22323","P3_924912AO",35.7,32.1,28,1464,337,18.2,26.18,0.12,0.52,33.3
"22324","P3_924951GK",0,0,1,0,0,NA,0,0,0,NA
"22325","P3_925568TR",0,0,3,0,13,0,0,0.04,0,NA
"22326","P3_925642TQ",12.5,12.5,16,-300,83,0,-9.38,0.05,-0.19,NA
"22327","P3_927537RA",12.5,12.5,8,-1450,50,0,-90.62,0.06,-1.81,0
"22328","P3_927579QU",38.9,22.2,18,-22190,241,11.1,-616.39,0.13,-12.33,20
"22329","P3_928074VB",6.2,6.2,16,-300,105,0,-9.38,0.07,-0.19,0
"22330","P3_928181EM",22.2,22.2,9,-250,87,25,-13.89,0.1,-0.28,NA
"22331","P3_928857TO",38.9,5.6,18,9719,384,0,270,0.21,5.4,66.7
"22332","P3_928888XB",0,0,4,-100,19,NA,-25,0.05,-0.25,NA
"22333","P3_928908TK",22.2,13.3,45,9045,405,0,100.51,0.09,2.01,28.6
"22334","P3_929155AJ",100,100,1,-1800,69,NA,-900,0.69,-18,0
"22335","P3_929284HT",16.7,16.7,6,-400,39,NA,-33.33,0.06,-0.67,0
"22336","P3_929386OG",53.3,13.3,15,1890,110,0,63,0.07,1.26,40
"22337","P3_929691XK",16.7,16.7,6,605,91,0,50.5,0.15,1.01,50
"22338","P3_930165UD",10.7,10.7,28,-2800,370,0,-50,0.13,-1,0
"22339","P3_930756US",22,16,50,-22432,568,5.3,-224.32,0.11,-4.49,37.5
"22340","P3_930925GB",0,0,3,0,51,0,0,0.17,0,NA
"22341","P3_931495WJ",15.4,0,13,-900,100,0,-34.62,0.08,-0.69,0
"22342","P3_932364VD",50,50,8,1685,19,50,105.38,0.02,2.11,100
"22343","P3_934286KQ",57.1,28.6,7,-3520,64,0,-502.86,0.09,-5.03,0
"22344","P3_935101JF",25,25,12,2085,170,0,86.92,0.14,1.74,100
"22345","P3_935254PB",16.7,16.7,12,-800,197,25,-33.33,0.16,-0.67,0
"22346","P3_935321RP",34.8,14.5,69,-6590,910,4,-47.74,0.13,-0.96,41.2
"22347","P3_935857XI",52.4,21.4,42,-5100,637,6.2,-60.71,0.15,-1.21,44.4
"22348","P3_935980RD",25,0,4,-4800,61,NA,-600,0.15,-12,50
"22349","P3_936241IA",5.9,5.9,17,-400,239,0,-11.76,0.14,-0.24,0
"22350","P3_936389XV",60,0,5,-2825,63,0,-282.6,0.13,-5.65,33.3
"22351","P3_936718HL",30,6.7,30,1370,188,0,45.67,0.06,0.46,42.9
"22352","P3_936854VV",50,0,2,-350,6,0,-175,0.03,-1.75,0
"22353","P3_937911SB",22.2,14.8,27,30095,408,0,557.33,0.15,11.15,40
"22354","P3_937976HH",40,33.3,15,2145,221,0,71.47,0.15,1.43,50
"22355","P3_938073VM",15.2,6.1,33,21576,596,0,326.91,0.18,6.54,NA
"22356","P3_938771OX",20.7,17.2,29,-150,257,12.5,-5.17,0.09,-0.05,40
"22357","P3_938906NR",33.3,33.3,3,300,13,NA,50,0.04,1,NA
"22358","P3_939870BL",5.3,5.3,19,300,198,10,7.89,0.1,0.16,NA
"22359","P3_940059HU",0,0,1,0,0,NA,0,0,0,NA
"22360","P3_940878RH",20.5,12.8,39,-11485,404,0,-147.26,0.1,-2.94,20
"22361","P3_941400EA",52.6,26.3,19,1565,374,0,41.21,0.2,0.82,40
"22362","P3_941421GC",14,11.6,43,-1745,543,0,-20.28,0.13,-0.41,50
"22363","P3_941588AC",16.7,0,6,2435,70,0,203,0.12,4.06,100
"22364","P3_942010FV",66.7,0,6,-5785,131,0,-482.17,0.22,-9.64,25
"22365","P3_942305DL",35.3,11.8,34,-3426,462,0,-50.38,0.14,-1.01,41.7
"22366","P3_943213XY",37.5,12.5,8,-775,86,0,-48.38,0.11,-0.97,33.3
"22367","P3_945055DA",37.5,0,16,703,143,0,43.94,0.09,0.44,40
"22368","P3_945730DJ",20,0,10,-9247,117,0,-462.4,0.12,-9.25,50
"22369","P3_945800OC",43.8,31.2,16,525,235,33.3,16.44,0.15,0.33,50
"22370","P3_945955GO",30,30,10,700,22,50,70,0.02,0.7,NA
"22371","P3_946395TK",66.7,25,12,-1757,188,25,-73.25,0.16,-1.46,50
"22372","P3_946730RK",50,16.7,6,4360,78,33.3,363.33,0.13,7.27,100
"22373","P3_946888NU",0,0,7,-500,137,0,-35.71,0.2,-0.71,NA
"22374","P3_947892SD",28.3,14.2,120,5033,969,0,41.94,0.08,0.42,40.6
"22375","P3_948256GS",61.5,15.4,13,25,213,0,1,0.16,0.02,50
"22376","P3_949504NP",15.4,7.7,13,-1600,95,0,-61.54,0.07,-1.23,0
"22377","P3_950236YA",31.6,21.1,19,4830,180,12.5,127.11,0.09,2.54,66.7
"22378","P3_951054JA",9.7,6.5,31,-16930,394,0,-273.06,0.13,-5.46,0
"22379","P3_951151OU",33.3,0,9,3085,47,0,342.78,0.05,3.43,66.7
"22380","P3_952289CE",25,25,12,-2625,127,0,-218.75,0.11,-2.19,0
"22381","P3_953049BE",16.7,0,6,-200,94,0,-33.33,0.16,-0.33,0
"22382","P3_953070YC",17.9,10.7,28,-1325,252,9.1,-23.64,0.09,-0.47,16.7
"22383","P3_953184GF",33.3,33.3,6,-1145,34,NA,-190.83,0.06,-1.91,50
"22384","P3_953369VH",20.8,12.5,24,3305,156,14.3,137.71,0.06,1.38,75
"22385","P3_953401NQ",25,12.5,32,360,288,0,5.62,0.09,0.11,28.6
"22386","P3_953756HL",33.3,6.7,15,450,273,0,30,0.18,0.3,75
"22387","P3_954126UY",0,0,2,0,11,NA,0,0.06,0,NA
"22388","P3_954143GV",18.5,14.8,27,3850,1400,10,71.3,0.52,1.43,33.3
"22389","P3_954206KD",29.4,5.9,34,-1835,443,0,-26.97,0.13,-0.54,50
"22390","P3_954393YX",25.5,11.8,51,-1030,696,0,-10.1,0.14,-0.2,33.3
"22391","P3_954494BX",35.1,14,57,143,476,0,1.26,0.08,0.03,21.4
"22392","P3_954725WW",25,25,8,-200,86,NA,-12.5,0.11,-0.25,0
"22393","P3_954803FB",34.5,6,84,1636,797,0,19.48,0.09,0.19,44.8
"22394","P3_957610WV",17,12.8,47,-7901,624,7.1,-84.06,0.13,-1.68,62.5
"22395","P3_959159CF",100,100,1,-250,14,NA,-250,0.14,-2.5,0
"22396","P3_959918JC",20,20,5,1120,98,0,112,0.2,2.24,100
"22397","P3_959935OV",33.3,20.8,24,155,288,9.1,3.21,0.12,0.06,25
"22398","P3_960749EA",66.7,66.7,3,-400,0,NA,-66.67,0,-1.33,NA
"22399","P3_962632XB",25,12.5,8,115,43,0,14.38,0.05,0.14,50
"22400","P3_962978QX",49.3,1.5,67,-8405,856,3,-62.7,0.13,-1.25,46.4
"22401","P3_963114ES",0,0,2,-300,38,0,-75,0.19,-1.5,NA
"22402","P3_963115KS",22.2,11.1,27,2400,430,8.3,44.44,0.16,0.89,33.3
"22403","P3_963811KD",0,0,13,-150,81,0,-11.54,0.06,-0.12,NA
"22404","P3_964682UJ",28.6,0,7,2030,106,0,145,0.15,2.9,66.7
"22405","P3_965696UI",66.7,22.2,9,-3716,193,0,-206.44,0.21,-4.13,20
"22406","P3_966151VD",7.1,7.1,14,-400,86,0,-14.29,0.06,-0.29,NA
"22407","P3_967396EY",50,25,4,480,4,NA,60,0.01,1.2,100
"22408","P3_968047MG",20.4,11.1,54,8085,828,4.5,74.85,0.15,1.5,33.3
"22409","P3_968534UI",30.3,25.8,66,-19879,1270,23.8,-150.58,0.19,-3.01,38.5
"22410","P3_968717SN",0,0,1,-100,40,0,-50,0.4,-1,NA
"22411","P3_968933AR",30,30,10,-14980,282,0,-749,0.28,-14.98,0
"22412","P3_969262FI",13.5,10.8,37,-2730,323,0,-36.89,0.09,-0.74,33.3
"22413","P3_969776UC",21.4,21.4,28,5570,363,7.1,99.5,0.13,1.99,100
"22414","P3_969914KT",10.8,5.4,37,-870,428,0,-11.76,0.12,-0.24,16.7
